event,accuracy_eval,objective,error,accuracy,flops_norm,flops,params,score,elapsed_sec,params_json
1,1,both,0.8999999985098839,0.10000000149011612,0.16543906666666666,24815860.0,515066.0,-0.3203682810430813,205.2326,"{""activation"": ""relu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.414100625387, ""learning_rate"": 0.000913492427, ""new_fc_1"": 17, ""new_fc_10"": 1, ""new_fc_2"": 3, ""new_fc_3"": 26, ""new_fc_4"": 15, ""new_fc_5"": 24, ""new_fc_6"": 20, ""new_fc_7"": 21, ""new_fc_8"": 12, ""new_fc_9"": 8, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 5}"
2,2,both,0.45069998502731323,0.5493000149726868,0.12461128,18691692.0,690786.0,-0.6471266264808807,529.2121,"{""activation"": ""selu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.400985795416, ""learning_rate"": 0.000152496678, ""new_fc_1"": 31, ""new_fc_10"": 24, ""new_fc_2"": 15, ""new_fc_3"": 7, ""new_fc_4"": 29, ""new_fc_5"": 11, ""new_fc_6"": 25, ""new_fc_7"": 26, ""new_fc_8"": 31, ""new_fc_9"": 31, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 3}"
3,3,both,0.8999999985098839,0.10000000149011612,0.15913389333333333,23870084.0,463034.0,-0.3222598330430813,673.341,"{""activation"": ""swish"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.231049763781, ""learning_rate"": 0.000939405318, ""new_fc_1"": 10, ""new_fc_10"": 25, ""new_fc_2"": 19, ""new_fc_3"": 13, ""new_fc_4"": 9, ""new_fc_5"": 16, ""new_fc_6"": 1, ""new_fc_7"": 30, ""new_fc_8"": 12, ""new_fc_9"": 0, ""num_neurons"": 8, ""optimizer"": ""Adamax"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 8}"
4,4,both,10000000000.0,,4.63085864,694628796.0,20044042.0,10000000000.0,674.3352,"{""activation"": ""selu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.115092027314, ""learning_rate"": 0.00032669675, ""new_fc_1"": 7, ""new_fc_10"": 21, ""new_fc_2"": 16, ""new_fc_3"": 9, ""new_fc_4"": 17, ""new_fc_5"": 6, ""new_fc_6"": 27, ""new_fc_7"": 21, ""new_fc_8"": 13, ""new_fc_9"": 25, ""num_neurons"": 64, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 5}"
5,5,both,0.24129998683929443,0.7587000131607056,0.26275965333333334,39413948.0,4413738.0,-0.7522621132124938,1598.9092,"{""activation"": ""swish"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.276471805307, ""learning_rate"": 0.000277105123, ""new_fc_1"": 22, ""new_fc_10"": 27, ""new_fc_2"": 17, ""new_fc_3"": 2, ""new_fc_4"": 16, ""new_fc_5"": 17, ""new_fc_6"": 20, ""new_fc_7"": 3, ""new_fc_8"": 32, ""new_fc_9"": 28, ""num_neurons"": 32, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 1}"
6,6,both,10000000000.0,,2.67200424,400800636.0,17601610.0,10000000000.0,1599.7434,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.468762334788, ""learning_rate"": 0.000849791766, ""new_fc_1"": 29, ""new_fc_10"": 28, ""new_fc_2"": 20, ""new_fc_3"": 1, ""new_fc_4"": 25, ""new_fc_5"": 13, ""new_fc_6"": 24, ""new_fc_7"": 17, ""new_fc_8"": 28, ""new_fc_9"": 4, ""num_neurons"": 64, ""optimizer"": ""Adamax"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 1}"
7,7,both,0.8044999986886978,0.19550000131130219,0.98932776,148399164.0,15802442.0,-0.1400516729179115,1864.2245,"{""activation"": ""relu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.077739628914, ""learning_rate"": 0.000501055274, ""new_fc_1"": 11, ""new_fc_10"": 11, ""new_fc_2"": 3, ""new_fc_3"": 24, ""new_fc_4"": 13, ""new_fc_5"": 26, ""new_fc_6"": 12, ""new_fc_7"": 27, ""new_fc_8"": 28, ""new_fc_9"": 25, ""num_neurons"": 64, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 1}"
8,8,both,0.3537999987602234,0.6462000012397766,0.007639706666666667,1145956.0,86006.0,-0.7500480888678436,2127.9819,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.189747064136, ""learning_rate"": 0.000724734475, ""new_fc_1"": 16, ""new_fc_10"": 18, ""new_fc_2"": 17, ""new_fc_3"": 15, ""new_fc_4"": 5, ""new_fc_5"": 8, ""new_fc_6"": 25, ""new_fc_7"": 32, ""new_fc_8"": 24, ""new_fc_9"": 18, ""num_neurons"": 4, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 2}"
9,9,both,0.30470001697540283,0.6952999830245972,0.4071977333333333,61079660.0,1445034.0,-0.664550668117218,2331.8983,"{""activation"": ""selu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.189131235097, ""learning_rate"": 0.000331469668, ""new_fc_1"": 30, ""new_fc_10"": 21, ""new_fc_2"": 3, ""new_fc_3"": 10, ""new_fc_4"": 18, ""new_fc_5"": 4, ""new_fc_6"": 31, ""new_fc_7"": 13, ""new_fc_8"": 15, ""new_fc_9"": 14, ""num_neurons"": 16, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 3, ""unit_c2"": 2}"
10,10,both,0.8999999985098839,0.10000000149011612,0.6398841333333334,95982620.0,1352106.0,-0.17803476104308125,2716.0927,"{""activation"": ""relu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.289285957199, ""learning_rate"": 0.000308088131, ""new_fc_1"": 28, ""new_fc_10"": 6, ""new_fc_2"": 14, ""new_fc_3"": 30, ""new_fc_4"": 2, ""new_fc_5"": 6, ""new_fc_6"": 9, ""new_fc_7"": 8, ""new_fc_8"": 10, ""new_fc_9"": 21, ""num_neurons"": 16, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 2}"
