iteration,score,best_score,elapsed_sec,params_json
1,-0.3448772891098385,-0.3448772891098385,265.1237,"{""activation"": ""selu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.236052338777, ""learning_rate"": 0.00075111866, ""new_fc_1"": 4, ""new_fc_10"": 9, ""new_fc_2"": 7, ""new_fc_3"": 0, ""new_fc_4"": 11, ""new_fc_5"": 6, ""new_fc_6"": 19, ""new_fc_7"": 5, ""new_fc_8"": 24, ""new_fc_9"": 0, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 7}"
2,-0.2989493161723251,-0.3448772891098385,528.8602,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.092589639507, ""learning_rate"": 0.000571071323, ""new_fc_1"": 7, ""new_fc_10"": 3, ""new_fc_2"": 23, ""new_fc_3"": 10, ""new_fc_4"": 0, ""new_fc_5"": 7, ""new_fc_6"": 23, ""new_fc_7"": 28, ""new_fc_8"": 32, ""new_fc_9"": 21, ""num_neurons"": 16, ""optimizer"": ""Adagrad"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 7}"
3,-0.27879910396244906,-0.3448772891098385,913.0656,"{""activation"": ""swish"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.462866963862, ""learning_rate"": 0.000490007948, ""new_fc_1"": 18, ""new_fc_10"": 3, ""new_fc_2"": 21, ""new_fc_3"": 3, ""new_fc_4"": 11, ""new_fc_5"": 16, ""new_fc_6"": 12, ""new_fc_7"": 29, ""new_fc_8"": 9, ""new_fc_9"": 12, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 4}"
4,10000000000.0,-0.3448772891098385,913.4967,"{""activation"": ""relu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.350969511556, ""learning_rate"": 0.000147815822, ""new_fc_1"": 3, ""new_fc_10"": 27, ""new_fc_2"": 29, ""new_fc_3"": 12, ""new_fc_4"": 12, ""new_fc_5"": 15, ""new_fc_6"": 29, ""new_fc_7"": 8, ""new_fc_8"": 6, ""new_fc_9"": 21, ""num_neurons"": 32, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 5}"
5,-0.2262493438435378,-0.3448772891098385,1297.9613,"{""activation"": ""swish"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.171196885029, ""learning_rate"": 0.00024895126, ""new_fc_1"": 29, ""new_fc_10"": 4, ""new_fc_2"": 17, ""new_fc_3"": 5, ""new_fc_4"": 15, ""new_fc_5"": 12, ""new_fc_6"": 28, ""new_fc_7"": 9, ""new_fc_8"": 23, ""new_fc_9"": 21, ""num_neurons"": 8, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 8}"
6,10000000000.0,-0.3448772891098385,1298.4243,"{""activation"": ""selu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.197823195326, ""learning_rate"": 0.000831546595, ""new_fc_1"": 7, ""new_fc_10"": 23, ""new_fc_2"": 21, ""new_fc_3"": 15, ""new_fc_4"": 18, ""new_fc_5"": 28, ""new_fc_6"": 16, ""new_fc_7"": 5, ""new_fc_8"": 13, ""new_fc_9"": 32, ""num_neurons"": 32, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 4}"
7,-0.26349729567038627,-0.3448772891098385,1982.4647,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.285807771088, ""learning_rate"": 0.000476574932, ""new_fc_1"": 21, ""new_fc_10"": 0, ""new_fc_2"": 1, ""new_fc_3"": 31, ""new_fc_4"": 14, ""new_fc_5"": 16, ""new_fc_6"": 25, ""new_fc_7"": 21, ""new_fc_8"": 19, ""new_fc_9"": 18, ""num_neurons"": 16, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 1}"
8,-0.059821072070929515,-0.3448772891098385,2426.394,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.214048860741, ""learning_rate"": 0.000950099436, ""new_fc_1"": 15, ""new_fc_10"": 32, ""new_fc_2"": 0, ""new_fc_3"": 18, ""new_fc_4"": 0, ""new_fc_5"": 9, ""new_fc_6"": 5, ""new_fc_7"": 21, ""new_fc_8"": 16, ""new_fc_9"": 11, ""num_neurons"": 16, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 3, ""unit_c2"": 7}"
9,10000000000.0,-0.3448772891098385,2427.7289,"{""activation"": ""swish"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.034972556261, ""learning_rate"": 0.000847576293, ""new_fc_1"": 13, ""new_fc_10"": 4, ""new_fc_2"": 19, ""new_fc_3"": 13, ""new_fc_4"": 24, ""new_fc_5"": 3, ""new_fc_6"": 7, ""new_fc_7"": 32, ""new_fc_8"": 11, ""new_fc_9"": 27, ""num_neurons"": 64, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 5}"
10,-0.31085316801877544,-0.3448772891098385,2691.3904,"{""activation"": ""selu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.277565479985, ""learning_rate"": 0.00027864195, ""new_fc_1"": 30, ""new_fc_10"": 18, ""new_fc_2"": 15, ""new_fc_3"": 22, ""new_fc_4"": 12, ""new_fc_5"": 4, ""new_fc_6"": 20, ""new_fc_7"": 18, ""new_fc_8"": 21, ""new_fc_9"": 22, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 4}"
11,10000000000.0,-0.3448772891098385,2695.4621,"{""activation"": ""swish"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.492171840071, ""learning_rate"": 0.000906239199, ""new_fc_1"": 24, ""new_fc_10"": 30, ""new_fc_2"": 30, ""new_fc_3"": 23, ""new_fc_4"": 23, ""new_fc_5"": 13, ""new_fc_6"": 17, ""new_fc_7"": 15, ""new_fc_8"": 31, ""new_fc_9"": 14, ""num_neurons"": 16, ""optimizer"": ""Adagrad"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 7}"
12,-0.23767059190090728,-0.3448772891098385,2782.3818,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.432258084075, ""learning_rate"": 0.000311652672, ""new_fc_1"": 30, ""new_fc_10"": 0, ""new_fc_2"": 18, ""new_fc_3"": 14, ""new_fc_4"": 23, ""new_fc_5"": 17, ""new_fc_6"": 29, ""new_fc_7"": 0, ""new_fc_8"": 14, ""new_fc_9"": 31, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 7}"
13,-0.2971931926508827,-0.3448772891098385,2989.3982,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.196660056436, ""learning_rate"": 0.00010518809, ""new_fc_1"": 13, ""new_fc_10"": 14, ""new_fc_2"": 19, ""new_fc_3"": 15, ""new_fc_4"": 19, ""new_fc_5"": 31, ""new_fc_6"": 24, ""new_fc_7"": 28, ""new_fc_8"": 28, ""new_fc_9"": 32, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 2}"
14,-0.31138336016272067,-0.3448772891098385,3196.6138,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.228153872927, ""learning_rate"": 0.000603901257, ""new_fc_1"": 28, ""new_fc_10"": 23, ""new_fc_2"": 1, ""new_fc_3"": 11, ""new_fc_4"": 21, ""new_fc_5"": 32, ""new_fc_6"": 8, ""new_fc_7"": 0, ""new_fc_8"": 32, ""new_fc_9"": 6, ""num_neurons"": 4, ""optimizer"": ""Adagrad"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 2}"
15,-0.2877636957778237,-0.3448772891098385,3283.5751,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.334497531978, ""learning_rate"": 0.000258101244, ""new_fc_1"": 4, ""new_fc_10"": 10, ""new_fc_2"": 3, ""new_fc_3"": 17, ""new_fc_4"": 19, ""new_fc_5"": 21, ""new_fc_6"": 27, ""new_fc_7"": 3, ""new_fc_8"": 22, ""new_fc_9"": 12, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 6}"
