event,accuracy_eval,objective,error,accuracy,flops_norm,flops,params,score,elapsed_sec,params_json
1,1,both,10000000000.0,,1.8597083466666666,278956252.0,9240970.0,10000000000.0,1.3678,"{""activation"": ""swish"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.136620183175, ""learning_rate"": 0.000596183292, ""new_fc_1"": 32, ""new_fc_10"": 20, ""new_fc_2"": 25, ""new_fc_3"": 19, ""new_fc_4"": 14, ""new_fc_5"": 32, ""new_fc_6"": 16, ""new_fc_7"": 4, ""new_fc_8"": 3, ""new_fc_9"": 2, ""num_neurons"": 32, ""optimizer"": ""SGD"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 3}"
2,2,both,0.3726999759674072,0.6273000240325928,0.6297698933333333,94465484.0,2059786.0,-0.5501790488228149,505.7045,"{""activation"": ""selu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.328168450519, ""learning_rate"": 0.000864488615, ""new_fc_1"": 12, ""new_fc_10"": 15, ""new_fc_2"": 3, ""new_fc_3"": 5, ""new_fc_4"": 0, ""new_fc_5"": 11, ""new_fc_6"": 10, ""new_fc_7"": 22, ""new_fc_8"": 13, ""new_fc_9"": 18, ""num_neurons"": 16, ""optimizer"": ""Adagrad"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 8}"
3,3,both,0.778999999165535,0.22100000083446503,0.44801234666666667,67201852.0,2647402.0,-0.3202962965841255,889.5675,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.473755208556, ""learning_rate"": 0.000551653008, ""new_fc_1"": 25, ""new_fc_10"": 3, ""new_fc_2"": 20, ""new_fc_3"": 12, ""new_fc_4"": 18, ""new_fc_5"": 17, ""new_fc_6"": 1, ""new_fc_7"": 27, ""new_fc_8"": 22, ""new_fc_9"": 3, ""num_neurons"": 16, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 5}"
4,4,both,10000000000.0,,12.577310266666666,1886596540.0,35968650.0,10000000000.0,891.2647,"{""activation"": ""swish"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.344577477992, ""learning_rate"": 0.000627342897, ""new_fc_1"": 12, ""new_fc_10"": 25, ""new_fc_2"": 27, ""new_fc_3"": 17, ""new_fc_4"": 10, ""new_fc_5"": 1, ""new_fc_6"": 16, ""new_fc_7"": 5, ""new_fc_8"": 22, ""new_fc_9"": 15, ""num_neurons"": 64, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 8}"
5,5,both,0.6872000098228455,0.31279999017715454,0.05468792,8203188.0,329962.0,-0.5025536171240081,1155.0221,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.290560127367, ""learning_rate"": 0.000450055517, ""new_fc_1"": 7, ""new_fc_10"": 8, ""new_fc_2"": 24, ""new_fc_3"": 6, ""new_fc_4"": 13, ""new_fc_5"": 28, ""new_fc_6"": 20, ""new_fc_7"": 32, ""new_fc_8"": 24, ""new_fc_9"": 13, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 4}"
6,6,both,0.8999999985098839,0.10000000149011612,0.6782434933333333,101736524.0,2253290.0,-0.1665269530430813,1959.6762,"{""activation"": ""swish"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.445858355249, ""learning_rate"": 0.000514214582, ""new_fc_1"": 14, ""new_fc_10"": 18, ""new_fc_2"": 23, ""new_fc_3"": 3, ""new_fc_4"": 17, ""new_fc_5"": 24, ""new_fc_6"": 23, ""new_fc_7"": 5, ""new_fc_8"": 2, ""new_fc_9"": 18, ""num_neurons"": 16, ""optimizer"": ""Adamax"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 7}"
7,7,both,10000000000.0,,1.04595304,156892956.0,4084666.0,10000000000.0,1960.0829,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.169061966854, ""learning_rate"": 0.000607132884, ""new_fc_1"": 25, ""new_fc_10"": 9, ""new_fc_2"": 27, ""new_fc_3"": 3, ""new_fc_4"": 14, ""new_fc_5"": 21, ""new_fc_6"": 23, ""new_fc_7"": 23, ""new_fc_8"": 4, ""new_fc_9"": 5, ""num_neurons"": 16, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 8}"
8,8,both,0.6313000023365021,0.3686999976634979,0.03833346666666667,5750020.0,193290.0,-0.5465899583644485,3064.1393,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.252719771852, ""learning_rate"": 0.000558486335, ""new_fc_1"": 23, ""new_fc_10"": 3, ""new_fc_2"": 21, ""new_fc_3"": 25, ""new_fc_4"": 17, ""new_fc_5"": 2, ""new_fc_6"": 10, ""new_fc_7"": 8, ""new_fc_8"": 32, ""new_fc_9"": 25, ""num_neurons"": 4, ""optimizer"": ""Adamax"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 6}"
9,9,both,10000000000.0,,4.815598906666667,722339836.0,17276586.0,10000000000.0,3065.1901,"{""activation"": ""swish"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.0699049567, ""learning_rate"": 0.000624403979, ""new_fc_1"": 28, ""new_fc_10"": 15, ""new_fc_2"": 19, ""new_fc_3"": 17, ""new_fc_4"": 14, ""new_fc_5"": 14, ""new_fc_6"": 23, ""new_fc_7"": 28, ""new_fc_8"": 16, ""new_fc_9"": 24, ""num_neurons"": 32, ""optimizer"": ""Adamax"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 7}"
10,10,both,10000000000.0,,18.402334266666667,2760350140.0,14923338.0,10000000000.0,3065.9025,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.338097182134, ""learning_rate"": 0.000516416543, ""new_fc_1"": 1, ""new_fc_10"": 23, ""new_fc_2"": 17, ""new_fc_3"": 22, ""new_fc_4"": 25, ""new_fc_5"": 10, ""new_fc_6"": 0, ""new_fc_7"": 19, ""new_fc_8"": 30, ""new_fc_9"": 7, ""num_neurons"": 64, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 7}"
