iteration,score,best_score,elapsed_sec,params_json
1,-0.26681743984353784,-0.26681743984353784,745.7158,"{""activation"": ""relu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.374037152651, ""learning_rate"": 0.000638792636, ""new_fc_1"": 21, ""new_fc_10"": 24, ""new_fc_2"": 1, ""new_fc_3"": 23, ""new_fc_4"": 29, ""new_fc_5"": 1, ""new_fc_6"": 20, ""new_fc_7"": 32, ""new_fc_8"": 11, ""new_fc_9"": 21, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 7}"
2,-0.2374374882659857,-0.26681743984353784,1130.3059,"{""activation"": ""swish"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.095562114506, ""learning_rate"": 0.000362930184, ""new_fc_1"": 2, ""new_fc_10"": 25, ""new_fc_2"": 6, ""new_fc_3"": 20, ""new_fc_4"": 8, ""new_fc_5"": 17, ""new_fc_6"": 3, ""new_fc_7"": 24, ""new_fc_8"": 13, ""new_fc_9"": 8, ""num_neurons"": 8, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 3, ""unit_c2"": 7}"
3,-0.2905460878435378,-0.2905460878435378,1514.9243,"{""activation"": ""swish"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.236871672058, ""learning_rate"": 0.000209834411, ""new_fc_1"": 5, ""new_fc_10"": 7, ""new_fc_2"": 3, ""new_fc_3"": 28, ""new_fc_4"": 17, ""new_fc_5"": 25, ""new_fc_6"": 9, ""new_fc_7"": 13, ""new_fc_8"": 30, ""new_fc_9"": 14, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 4}"
4,-0.13662500800312927,-0.2905460878435378,1778.6942,"{""activation"": ""selu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.481750851444, ""learning_rate"": 0.000860080464, ""new_fc_1"": 28, ""new_fc_10"": 23, ""new_fc_2"": 14, ""new_fc_3"": 0, ""new_fc_4"": 24, ""new_fc_5"": 6, ""new_fc_6"": 8, ""new_fc_7"": 23, ""new_fc_8"": 0, ""new_fc_9"": 7, ""num_neurons"": 16, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 1}"
5,-0.29952786425764105,-0.29952786425764105,1982.4699,"{""activation"": ""selu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.364330717792, ""learning_rate"": 0.000811157986, ""new_fc_1"": 32, ""new_fc_10"": 4, ""new_fc_2"": 22, ""new_fc_3"": 23, ""new_fc_4"": 21, ""new_fc_5"": 26, ""new_fc_6"": 0, ""new_fc_7"": 13, ""new_fc_8"": 2, ""new_fc_9"": 0, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 1}"
6,-0.0739820638435378,-0.29952786425764105,2546.8916,"{""activation"": ""relu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.262083930291, ""learning_rate"": 0.000570459546, ""new_fc_1"": 31, ""new_fc_10"": 21, ""new_fc_2"": 3, ""new_fc_3"": 29, ""new_fc_4"": 22, ""new_fc_5"": 14, ""new_fc_6"": 28, ""new_fc_7"": 12, ""new_fc_8"": 31, ""new_fc_9"": 6, ""num_neurons"": 16, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 6}"
7,10000000000.0,-0.29952786425764105,2548.8286,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.168947832344, ""learning_rate"": 0.000194944834, ""new_fc_1"": 24, ""new_fc_10"": 8, ""new_fc_2"": 32, ""new_fc_3"": 0, ""new_fc_4"": 26, ""new_fc_5"": 12, ""new_fc_6"": 2, ""new_fc_7"": 5, ""new_fc_8"": 7, ""new_fc_9"": 26, ""num_neurons"": 64, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 5}"
8,-0.3993729006730041,-0.3993729006730041,4133.0742,"{""activation"": ""selu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.156623796885, ""learning_rate"": 0.00031971297, ""new_fc_1"": 11, ""new_fc_10"": 32, ""new_fc_2"": 1, ""new_fc_3"": 2, ""new_fc_4"": 16, ""new_fc_5"": 1, ""new_fc_6"": 1, ""new_fc_7"": 27, ""new_fc_8"": 22, ""new_fc_9"": 31, ""num_neurons"": 16, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 3}"
9,-0.06646835241306018,-0.3993729006730041,4517.3304,"{""activation"": ""relu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.279539254159, ""learning_rate"": 0.000503004848, ""new_fc_1"": 4, ""new_fc_10"": 28, ""new_fc_2"": 5, ""new_fc_3"": 21, ""new_fc_4"": 10, ""new_fc_5"": 15, ""new_fc_6"": 32, ""new_fc_7"": 8, ""new_fc_8"": 5, ""new_fc_9"": 15, ""num_neurons"": 32, ""optimizer"": ""SGD"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 2}"
10,10000000000.0,-0.3993729006730041,4518.501,"{""activation"": ""relu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.133513292356, ""learning_rate"": 0.000740034579, ""new_fc_1"": 0, ""new_fc_10"": 25, ""new_fc_2"": 10, ""new_fc_3"": 27, ""new_fc_4"": 24, ""new_fc_5"": 22, ""new_fc_6"": 30, ""new_fc_7"": 29, ""new_fc_8"": 6, ""new_fc_9"": 15, ""num_neurons"": 64, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 3}"
11,-0.30357119995827675,-0.3993729006730041,5206.141,"{""activation"": ""selu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.397221272201, ""learning_rate"": 0.000620468559, ""new_fc_1"": 23, ""new_fc_10"": 31, ""new_fc_2"": 30, ""new_fc_3"": 25, ""new_fc_4"": 4, ""new_fc_5"": 19, ""new_fc_6"": 10, ""new_fc_7"": 32, ""new_fc_8"": 26, ""new_fc_9"": 14, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 1}"
12,10000000000.0,-0.3993729006730041,5210.021,"{""activation"": ""selu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.258610366702, ""learning_rate"": 0.000554439524, ""new_fc_1"": 18, ""new_fc_10"": 18, ""new_fc_2"": 25, ""new_fc_3"": 9, ""new_fc_4"": 13, ""new_fc_5"": 18, ""new_fc_6"": 29, ""new_fc_7"": 4, ""new_fc_8"": 30, ""new_fc_9"": 6, ""num_neurons"": 32, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 3, ""unit_c2"": 3}"
