event,accuracy_eval,objective,error,accuracy,flops_norm,flops,params,score,elapsed_sec,params_json
1,1,both,0.9900000002235174,0.009999999776482582,0.16545226666666665,24817840.0,515876.0,-0.2573643198435378,205.6616,"{""activation"": ""relu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.414100625387, ""learning_rate"": 0.000913492427, ""new_fc_1"": 17, ""new_fc_10"": 1, ""new_fc_2"": 3, ""new_fc_3"": 26, ""new_fc_4"": 15, ""new_fc_5"": 24, ""new_fc_6"": 20, ""new_fc_7"": 21, ""new_fc_8"": 12, ""new_fc_9"": 8, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 5}"
2,2,both,0.9622999988496304,0.037700001150369644,0.12484528,18726792.0,708156.0,-0.2889364168052588,349.7443,"{""activation"": ""selu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.400985795416, ""learning_rate"": 0.000152496678, ""new_fc_1"": 31, ""new_fc_10"": 24, ""new_fc_2"": 15, ""new_fc_3"": 7, ""new_fc_4"": 29, ""new_fc_5"": 11, ""new_fc_6"": 25, ""new_fc_7"": 26, ""new_fc_8"": 31, ""new_fc_9"": 31, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 3}"
3,3,both,0.9900000002235174,0.009999999776482582,0.15937749333333334,23906624.0,481124.0,-0.2591867518435378,494.0262,"{""activation"": ""swish"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.231049763781, ""learning_rate"": 0.000939405318, ""new_fc_1"": 10, ""new_fc_10"": 25, ""new_fc_2"": 19, ""new_fc_3"": 13, ""new_fc_4"": 9, ""new_fc_5"": 16, ""new_fc_6"": 1, ""new_fc_7"": 30, ""new_fc_8"": 12, ""new_fc_9"": 0, ""num_neurons"": 8, ""optimizer"": ""Adamax"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 8}"
4,4,both,10000000000.0,,4.63247504,694871256.0,20165092.0,10000000000.0,495.0824,"{""activation"": ""selu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.115092027314, ""learning_rate"": 0.00032669675, ""new_fc_1"": 7, ""new_fc_10"": 21, ""new_fc_2"": 16, ""new_fc_3"": 9, ""new_fc_4"": 17, ""new_fc_5"": 6, ""new_fc_6"": 27, ""new_fc_7"": 21, ""new_fc_8"": 13, ""new_fc_9"": 25, ""num_neurons"": 64, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 5}"
5,5,both,0.604200005531311,0.39579999446868896,0.26380005333333334,39570008.0,4491588.0,-0.49791998012808225,1719.8694,"{""activation"": ""swish"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.276471805307, ""learning_rate"": 0.000277105123, ""new_fc_1"": 22, ""new_fc_10"": 27, ""new_fc_2"": 17, ""new_fc_3"": 2, ""new_fc_4"": 16, ""new_fc_5"": 17, ""new_fc_6"": 20, ""new_fc_7"": 3, ""new_fc_8"": 32, ""new_fc_9"": 28, ""num_neurons"": 32, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 1}"
6,6,both,10000000000.0,,2.67415824,401123736.0,17762980.0,10000000000.0,1720.776,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.468762334788, ""learning_rate"": 0.000849791766, ""new_fc_1"": 29, ""new_fc_10"": 28, ""new_fc_2"": 20, ""new_fc_3"": 1, ""new_fc_4"": 25, ""new_fc_5"": 13, ""new_fc_6"": 24, ""new_fc_7"": 17, ""new_fc_8"": 28, ""new_fc_9"": 4, ""num_neurons"": 64, ""optimizer"": ""Adamax"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 1}"
7,7,both,0.9778000004589558,0.022199999541044235,0.99017616,148526424.0,15865892.0,-0.018487151678730974,1985.1909,"{""activation"": ""relu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.077739628914, ""learning_rate"": 0.000501055274, ""new_fc_1"": 11, ""new_fc_10"": 11, ""new_fc_2"": 3, ""new_fc_3"": 24, ""new_fc_4"": 13, ""new_fc_5"": 26, ""new_fc_6"": 12, ""new_fc_7"": 27, ""new_fc_8"": 28, ""new_fc_9"": 25, ""num_neurons"": 64, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 1}"
8,8,both,0.7821000069379807,0.21789999306201935,0.0077297066666666666,1159456.0,92576.0,-0.4502110831434135,2308.9893,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.189747064136, ""learning_rate"": 0.000724734475, ""new_fc_1"": 16, ""new_fc_10"": 18, ""new_fc_2"": 17, ""new_fc_3"": 15, ""new_fc_4"": 5, ""new_fc_5"": 8, ""new_fc_6"": 25, ""new_fc_7"": 32, ""new_fc_8"": 24, ""new_fc_9"": 18, ""num_neurons"": 4, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 2}"
9,9,both,0.6522000133991241,0.34779998660087585,0.40760453333333335,61140680.0,1475364.0,-0.42117863062061306,2633.0031,"{""activation"": ""selu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.189131235097, ""learning_rate"": 0.000331469668, ""new_fc_1"": 30, ""new_fc_10"": 21, ""new_fc_2"": 3, ""new_fc_3"": 10, ""new_fc_4"": 18, ""new_fc_5"": 4, ""new_fc_6"": 31, ""new_fc_7"": 13, ""new_fc_8"": 15, ""new_fc_9"": 14, ""num_neurons"": 16, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 3, ""unit_c2"": 2}"
10,10,both,0.9902999997138977,0.009700000286102295,0.6400029333333334,96000440.0,1360836.0,-0.1147891202002716,3017.335,"{""activation"": ""relu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.289285957199, ""learning_rate"": 0.000308088131, ""new_fc_1"": 28, ""new_fc_10"": 6, ""new_fc_2"": 14, ""new_fc_3"": 30, ""new_fc_4"": 2, ""new_fc_5"": 6, ""new_fc_6"": 9, ""new_fc_7"": 8, ""new_fc_8"": 10, ""new_fc_9"": 21, ""num_neurons"": 16, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 2}"
