event,accuracy_eval,objective,error,accuracy,flops_norm,flops,params,score,elapsed_sec,params_json
1,1,both,0.9900000002235174,0.009999999776482582,0.13394186666666666,20091280.0,815756.0,-0.26681743984353784,745.825,"{""activation"": ""relu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.374037152651, ""learning_rate"": 0.000638792636, ""new_fc_1"": 21, ""new_fc_10"": 24, ""new_fc_2"": 1, ""new_fc_3"": 23, ""new_fc_4"": 29, ""new_fc_5"": 1, ""new_fc_6"": 20, ""new_fc_7"": 32, ""new_fc_8"": 11, ""new_fc_9"": 21, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 7}"
2,2,both,0.991100000217557,0.008899999782443047,0.22720837333333332,34081256.0,200948.0,-0.23806748784771012,1130.1654,"{""activation"": ""swish"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.095562114506, ""learning_rate"": 0.000362930184, ""new_fc_1"": 2, ""new_fc_10"": 25, ""new_fc_2"": 6, ""new_fc_3"": 20, ""new_fc_4"": 8, ""new_fc_5"": 17, ""new_fc_6"": 3, ""new_fc_7"": 24, ""new_fc_8"": 13, ""new_fc_9"": 8, ""num_neurons"": 8, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 3, ""unit_c2"": 7}"
3,3,both,0.9900000002235174,0.009999999776482582,0.05484637333333333,8226956.0,67392.0,-0.2905460878435378,1514.539,"{""activation"": ""swish"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.236871672058, ""learning_rate"": 0.000209834411, ""new_fc_1"": 5, ""new_fc_10"": 7, ""new_fc_2"": 3, ""new_fc_3"": 28, ""new_fc_4"": 17, ""new_fc_5"": 25, ""new_fc_6"": 9, ""new_fc_7"": 13, ""new_fc_8"": 30, ""new_fc_9"": 14, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 4}"
4,4,both,0.9900000002235174,0.009999999776482582,0.57911664,86867496.0,913108.0,-0.1332650078435378,1718.1646,"{""activation"": ""selu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.481750851444, ""learning_rate"": 0.000860080464, ""new_fc_1"": 28, ""new_fc_10"": 23, ""new_fc_2"": 14, ""new_fc_3"": 0, ""new_fc_4"": 24, ""new_fc_5"": 6, ""new_fc_6"": 8, ""new_fc_7"": 23, ""new_fc_8"": 0, ""new_fc_9"": 7, ""num_neurons"": 16, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 1}"
5,5,both,0.989500000141561,0.010499999858438969,0.025373786666666665,3806068.0,79044.0,-0.2997378639009073,1921.8944,"{""activation"": ""selu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.364330717792, ""learning_rate"": 0.000811157986, ""new_fc_1"": 32, ""new_fc_10"": 4, ""new_fc_2"": 22, ""new_fc_3"": 23, ""new_fc_4"": 21, ""new_fc_5"": 26, ""new_fc_6"": 0, ""new_fc_7"": 13, ""new_fc_8"": 2, ""new_fc_9"": 0, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 1}"
6,6,both,0.9900000002235174,0.009999999776482582,0.7767264533333333,116508968.0,3880740.0,-0.0739820638435378,2305.9936,"{""activation"": ""relu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.262083930291, ""learning_rate"": 0.000570459546, ""new_fc_1"": 31, ""new_fc_10"": 21, ""new_fc_2"": 3, ""new_fc_3"": 29, ""new_fc_4"": 22, ""new_fc_5"": 14, ""new_fc_6"": 28, ""new_fc_7"": 12, ""new_fc_8"": 31, ""new_fc_9"": 6, ""num_neurons"": 16, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 6}"
7,7,both,10000000000.0,,7.018396746666666,1052759512.0,42671332.0,10000000000.0,2307.8781,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.168947832344, ""learning_rate"": 0.000194944834, ""new_fc_1"": 24, ""new_fc_10"": 8, ""new_fc_2"": 32, ""new_fc_3"": 0, ""new_fc_4"": 26, ""new_fc_5"": 12, ""new_fc_6"": 2, ""new_fc_7"": 5, ""new_fc_8"": 7, ""new_fc_9"": 26, ""num_neurons"": 64, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 5}"
8,8,both,0.7998999953269958,0.20010000467300415,0.14825701333333333,22238552.0,1228180.0,-0.39559289927110286,3471.8662,"{""activation"": ""selu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.156623796885, ""learning_rate"": 0.00031971297, ""new_fc_1"": 11, ""new_fc_10"": 32, ""new_fc_2"": 1, ""new_fc_3"": 2, ""new_fc_4"": 16, ""new_fc_5"": 1, ""new_fc_6"": 1, ""new_fc_7"": 27, ""new_fc_8"": 22, ""new_fc_9"": 31, ""num_neurons"": 16, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 3}"
9,9,both,0.9848999995738268,0.01510000042617321,0.8160054933333334,122400824.0,2529540.0,-0.06576835229832123,3735.9433,"{""activation"": ""relu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.279539254159, ""learning_rate"": 0.000503004848, ""new_fc_1"": 4, ""new_fc_10"": 28, ""new_fc_2"": 5, ""new_fc_3"": 21, ""new_fc_4"": 10, ""new_fc_5"": 15, ""new_fc_6"": 32, ""new_fc_7"": 8, ""new_fc_8"": 5, ""new_fc_9"": 15, ""num_neurons"": 32, ""optimizer"": ""SGD"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 2}"
10,10,both,10000000000.0,,11.28298384,1692447576.0,24265636.0,10000000000.0,3737.088,"{""activation"": ""relu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.133513292356, ""learning_rate"": 0.000740034579, ""new_fc_1"": 0, ""new_fc_10"": 25, ""new_fc_2"": 10, ""new_fc_3"": 27, ""new_fc_4"": 24, ""new_fc_5"": 22, ""new_fc_6"": 30, ""new_fc_7"": 29, ""new_fc_8"": 6, ""new_fc_9"": 15, ""num_neurons"": 64, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 3}"
